predictor,gcn_coef,gcn_ci_low,gcn_ci_high,h2gcn_coef,h2gcn_ci_low,h2gcn_ci_high
h,0.04294253385559753,-0.009292294475679974,0.10197030879877515,0.04108006968508997,-0.004061886244529072,0.08203674650140606
LI,-0.002468138218034561,-0.04264690901240444,0.056258566935394445,-0.006051147349707758,-0.03898926262990806,0.047048041761212606
l_mean,0.14100214541866446,0.07998244823238602,0.17844436880636128,0.1117524878488869,0.06062645763169235,0.1434601449050443
|C|,-0.18780341752534466,-0.27460743629266376,-0.12116055653348395,-0.157696935465903,-0.21930240922611158,-0.10466918503762339
log10(density),-0.05054145288915385,-0.09199878748585325,0.03783774181018798,0.019841702124457943,-0.029708181156829154,0.10385603567114567
|F|,0.008532479300333901,-0.044449284105360726,0.0417353617603946,0.019781875053131684,-0.028232258294597502,0.05289776165371678
unlabeled,-0.011876056088773413,-0.05461986821622991,0.01502503032534589,-0.038095709303352945,-0.07185809110442157,-0.012031434806155924
clustering,0.036748523962088435,-0.016235224616446095,0.07603460264761322,0.010124371628193745,-0.03377588171951792,0.040666641618989995
